"filename", "language", "Batch", "XML", "PowerShell", "Properties", "YAML", "Java", "MS SQL", "comment", "blank", "total"
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\TeamChatService.java", "Java", 0, 0, 0, 0, 0, 217, 0, 0, 16, 233
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\TeamJoinApplicationService.java", "Java", 0, 0, 0, 0, 0, 96, 0, 17, 13, 126
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\TeamMemberService.java", "Java", 0, 0, 0, 0, 0, 35, 0, 3, 9, 47
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\TeamMessageReadService.java", "Java", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\TeamMessageService.java", "Java", 0, 0, 0, 0, 0, 21, 0, 1, 6, 28
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\TeamRequestService.java", "Java", 0, 0, 0, 0, 0, 191, 0, 26, 31, 248
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\TimeSlotService.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 6, 21
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\service\UserService.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 5, 20
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\task\ReservationTask.java", "Java", 0, 0, 0, 0, 0, 12, 0, 0, 5, 17
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\ws\TeamChatWebSocketHandler.java", "Java", 0, 0, 0, 0, 0, 84, 0, 1, 7, 92
"d:\AAAAAAAAAAA\TestA\backend\src\main\java\com\campus\learningspace\ws\TeamChatWsHub.java", "Java", 0, 0, 0, 0, 0, 77, 0, 0, 11, 88
"d:\AAAAAAAAAAA\TestA\backend\src\main\resources\application.yml", "YAML", 0, 0, 0, 0, 48, 0, 0, 1, 9, 58
"d:\AAAAAAAAAAA\TestA\backend\src\main\resources\sql\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 1083, 91, 80, 1254
"d:\AAAAAAAAAAA\TestA\backend\target\classes\application.yml", "YAML", 0, 0, 0, 0, 48, 0, 0, 1, 9, 58
"d:\AAAAAAAAAAA\TestA\backend\target\classes\sql\init.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 1083, 91, 80, 1254
"d:\AAAAAAAAAAA\TestA\backend\target\maven-archiver\pom.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"Total", "-", 8, 132, 488, 3, 96, 5947, 2166, 695, 1630, 11165
